Class;Date;Opening Price;Closing Price;Maximum;Minimum;Var. %;Return;MOMENTUM5;EMA12;EMA26;MACD 12-26;EMA9 of MACD 12-26;MACD 12-26-9;ROI10;ROI20;ROI30;RSI 10;RSI 14;RSI 30;STOCHRSI10;STOCHRSI14;STOCHRSI30;ADX;Williams%R(14);CCI;ATR;UO;;;;;;;;;;;;;;;;;;;;;
1;20100630;19816.62;19236.26;19849.94;19224.96;-0.044;-0.044427367;-1372.77;20000.1832;19166.48738;833.6958207;33.34315189;800.3526688;-3.44267E-07;3.22733E-09;-6.25808E-09;50.37322126;50.10596845;50.59945353;0.611778332;0.296095456;0.580063927;19.4344481;-76.09616817;-37.57886108;578.7874509;41.84302383;;;;;;;;;;;;;;;;;;;;;
0;20100701;19297.85;19311.75;19562.34;19111.09;0.004;0.00392436;-1047.17;19894.2704;19322.92405;571.3463488;140.9437913;430.4025575;-3.17546E-07;2.62743E-08;-2.38974E-08;50.27214668;50.09507056;50.57659466;0.547355169;0.288801972;0.511247271;19.52146689;-89.78366792;-50.74098314;569.677633;41.55708537;;;;;;;;;;;;;;;;;;;;;
1;20100702;18999.92;18943.76;19254.15;18807.18;-0.019;-0.019055238;-998.63;19748.03803;18914.59353;833.4444933;279.4439317;554.0005616;-4.25915E-07;-6.34407E-08;1.3466E-08;50.46898835;50.43028565;50.60778838;0.677556807;0.513146823;0.605155994;20.02566695;-93.97800725;-78.30762438;565.0270878;39.06860933;;;;;;;;;;;;;;;;;;;;;
0;20100706;19114.29;19073.85;19256.91;18926.85;0.007;0.006867169;-887.89;19644.31679;19086.1005;558.2162957;335.1984045;223.0178912;-4.33754E-07;5.44223E-08;-4.48764E-08;50.0499121;50.25800702;50.57135381;0.494519856;0.397848244;0.495469708;20.48725166;-88.24216718;-70.92914083;548.2437244;38.57605329;;;;;;;;;;;;;;;;;;;;;
1;20100707;19126.59;18848.56;19126.59;18842.49;-0.012;-0.011811459;-1282.05;19521.89267;18830.28765;691.6050169;406.479727;285.12529;-5.16465E-07;3.84023E-08;1.44811E-08;49.95289847;50.37763807;50.58814579;0.511091673;0.477912095;0.546021961;21.03909278;-98.1755011;-89.83067087;529.3763155;36.47622763;;;;;;;;;;;;;;;;;;;;;
1;20100708;18945.13;19356.66;19576.72;18903.77;0.027;0.026956966;120.4;19496.47226;19397.15018;99.32207961;345.0481975;-245.7261179;-3.13643E-07;1.1928E-07;5.36981E-08;50.1293063;50.42784068;50.46052067;0.548393137;0.511510511;0.161806481;20.463277;-75.77270042;-62.74387493;543.5751501;39.42165961;;;;;;;;;;;;;;;;;;;;;
1;20100709;19174.22;20013.07;20013.07;19094.75;0.034;0.033911326;701.32;19575.94884;20060.44845;-484.4996122;179.1386355;-663.6382478;-7.32701E-08;1.50224E-07;6.12951E-08;50.51246949;50.34082625;50.55217222;1;0.45327555;0.437723526;19.03799541;-46.83071578;-22.06017486;570.3426394;48.02104635;;;;;;;;;;;;;;;;;;;;;
1;20100712;20160;20243.73;20319.02;20106.13;0.012;0.011525468;1299.97;19678.6844;20257.82858;-579.1441817;27.48207209;-606.6262538;8.55633E-08;1.14532E-07;4.09436E-08;50.9265302;50.26094214;50.59746639;1;0.399812592;0.574081644;18.1940035;-36.66061146;36.28053788;551.4574508;55.89610394;;;;;;;;;;;;;;;;;;;;;
0;20100713;20387.45;20478.98;20527.09;20304.42;0.012;0.011620882;1405.13;19801.8068;20495.99165;-694.1848483;-116.851312;-577.3335363;1.36588E-07;1.07696E-07;7.32592E-08;51.0199607;50.20874028;50.64612273;1;0.484869735;0.720561577;17.76373341;-18.35877602;58.5204041;532.3076329;58.99728756;;;;;;;;;;;;;;;;;;;;;
1;20100714;20513.86;20517.92;20646.37;20392.62;0.002;0.001901462;1669.36;19911.97806;20519.6068;-607.6287354;-215.0067967;-392.6219387;1.04365E-07;4.66464E-08;8.67748E-08;51.08968898;50.54963373;50.71394501;1;0.876619397;0.924740594;17.56417506;-7.631419809;64.30119254;512.4106591;61.71280839;;;;;;;;;;;;;;;;;;;;;
0;20100715;20517.55;20851.85;20889.78;20479.1;0.016;0.016275042;1495.19;20056.57374;20877.40717;-820.8334256;-336.1721224;-484.6613032;3.93807E-07;3.81066E-08;1.10935E-07;51.39518539;50.95735928;50.75723702;1;1;1;17.77648677;-1.821281091;87.31916603;505.1441835;65.92783114;;;;;;;;;;;;;;;;;;;;;
0;20100716;20972.51;20804.37;20978.37;20573;-0.002;-0.002277016;791.3;20171.61932;20798.75176;-627.1324344;-394.3641848;-232.7682496;3.64897E-07;3.50669E-08;1.46421E-07;50.68715773;50.67902142;50.56822925;0.509093752;0.784870488;0.460692331;18.1156327;-8.014038384;89.59965591;498.0174561;69.78022319;;;;;;;;;;;;;;;;;;;;;
0;20100719;20685.04;20480.08;20883.48;20326.92;-0.016;-0.01558759;236.35;20219.07481;20455.56679;-236.4919773;-362.7897433;126.2977661;3.87607E-07;-3.17897E-09;1.19433E-07;50.0401827;50.42233291;50.5085246;0.060517934;0.586473937;0.290333324;17.82119228;-22.95008728;63.38971394;502.1990664;64.93370416;;;;;;;;;;;;;;;;;;;;;
0;20100720;20535.25;20161.02;20657.67;19995.55;-0.016;-0.015579041;-317.96;20210.1433;20138.36255;71.78074661;-275.8756453;347.656392;2.82407E-07;-6.39787E-08;1.59536E-07;50.21106888;50.29615037;50.35770619;0.179000729;0.233193139;0;16.80102987;-37.64525445;31.58997068;513.6219902;52.33552513;;;;;;;;;;;;;;;;;;;;;
0;20100721;20045;20117.54;20368;19928;-0.002;-0.002156637;-400.38;20195.89664;20115.93827;79.95837461;-204.7088413;284.667216;3.31009E-07;-7.6439E-08;1.42651E-07;49.81905647;50.11087712;50.2014913;0;0.018330947;0;15.70777391;-39.64784289;20.79658641;508.3632766;51.76590688;;;;;;;;;;;;;;;;;;;;;
1;20100722;20260;19985.32;20338;19638;-0.007;-0.006572374;-866.53;20163.50023;19975.27244;188.2277924;-126.1215146;314.349307;1.65429E-07;-6.91741E-08;1.48059E-07;50.13680564;50.21356011;50.05080789;0.201601005;0.121305548;0;15.08517474;-45.73759091;5.474849387;522.051614;49.91907722;;;;;;;;;;;;;;;;;;;;;
1;20100723;20235;20137.92;20373;20063;0.008;0.007635605;-666.45;20159.56481;20150.43135;9.13346231;-99.07051922;108.2039815;3.36966E-08;-1.95596E-08;1.01505E-07;50.16735554;50.02253921;50.13554359;0.220983874;0;0.119949333;14.42488322;-39.34912074;35.58370299;512.4536416;49.54165665;;;;;;;;;;;;;;;;;;;;;
0;20100726;20023;20602;20714;20008;0.023;0.023045081;121.92;20227.63176;20636.73605;-409.1042851;-161.0772724;-248.0270127;8.88526E-08;8.6464E-08;6.96807E-08;50.25481417;50.25918516;50.2190219;0.276473387;0.25314598;0.238118732;13.74368137;-17.62130831;66.08482946;526.2783815;51.77453012;;;;;;;;;;;;;;;;;;;;;
1;20100727;20572;20604.08;20747;20442;0.000;0.000100961;443.06;20285.54688;20601.568;-316.0211182;-192.0660416;-123.9550767;3.29328E-08;8.43456E-08;8.50095E-08;50.28528053;50.00262806;50.28389316;0.295803252;0;0.329948557;13.18215965;-18.04155018;79.34635316;510.4727828;51.71633229;;;;;;;;;;;;;;;;;;;;;
1;20100728;20717;20819.96;20834;20484;0.011;0.010477536;702.42;20367.76428;20836.75938;-468.9951036;-247.451854;-221.5432496;7.37829E-08;8.8317E-08;3.97923E-08;50.35868457;50.20194656;50.32719849;0.342375609;0.208769234;0.391250289;12.85453215;-8.409870356;85.78137916;499.0104412;56.60965116;;;;;;;;;;;;;;;;;;;;;
0;20100729;20919;21158.08;21304;20919;0.016;0.016240185;1172.76;20489.35131;21182.79697;-693.4456554;-336.6506143;-356.7950412;7.2439E-08;2.30273E-07;2.44113E-08;50.43288593;50.35680543;50.36659336;0.707094305;0.370970765;0.447016489;13.48797504;-8.758703481;126.3738191;497.9411239;59.92739214;;;;;;;;;;;;;;;;;;;;;
0;20100730;21164;21096.97;21436;21044;-0.003;-0.002888258;959.05;20582.83111;21090.36793;-507.5368127;-370.8278539;-136.7089587;6.97516E-08;2.14794E-07;5.26217E-08;50.36095939;50.2500356;50.31100891;0.882823253;0.259138424;0.368332802;14.30893338;-18.85595106;126.4759703;490.3739008;56.77602171;;;;;;;;;;;;;;;;;;;;;
1;20100802;21051;21021.56;21224;20769;-0.004;-0.003574447;419.56;20650.32786;21016.26708;-365.9392181;-369.8501268;3.910908675;1.27149E-07;2.52386E-07;4.75718E-08;50.22839321;50.17772138;50.19835387;0.666857444;0.183395405;0.208861683;14.3086726;-23.05005562;97.23587111;487.8471936;57.52174539;;;;;;;;;;;;;;;;;;;;;
0;20100803;21112;21547.84;21617;21027;0.025;0.02503525;943.76;20788.40665;21588.73022;-800.3235698;-455.9448154;-344.3787544;3.12527E-07;2.88379E-07;2.6421E-08;50.30978703;50.35503646;50.25596261;0.799457499;0.369117916;0.290410898;15.0196388;-3.49469429;143.7673256;495.5323941;62.95499401;;;;;;;;;;;;;;;;;;;;;
0;20100804;21532;21498.32;21629;21314;-0.002;-0.002298142;678.36;20897.62409;21491.36537;-593.741275;-483.5041073;-110.2371677;3.12589E-07;3.11169E-07;6.21448E-08;49.89344142;50.20020502;50.09736118;0;0.292103638;0.065899447;15.70041248;-6.563535912;149.1828831;482.6372231;59.72011721;;;;;;;;;;;;;;;;;;;;;
0;20100805;21432;21466.44;21622;21102;-0.002;-0.001482907;308.36;20985.13423;21464.52266;-479.388432;-482.6809722;3.292540207;3.36762E-07;2.45389E-07;7.40923E-08;49.45443335;50.10019296;50.02176064;0;0.232460743;0;15.7318259;-8.164741336;124.3833137;485.3059928;61.54849699;;;;;;;;;;;;;;;;;;;;;
0;20100806;21507;21302.97;21584;21224;-0.008;-0.007615143;206;21034.03204;21290.54287;-256.5108295;-437.4469437;180.9361142;2.67757E-07;1.49805E-07;9.19047E-08;49.6082053;49.97644157;49.93878427;0.157158304;0;0;15.76099551;-16.37518835;108.6776683;476.3555648;56.73230698;;;;;;;;;;;;;;;;;;;;;
1;20100809;21429;21084.47;21542;20969;-0.010;-0.010256786;62.91;21041.79173;21068.61824;-26.82651237;-355.3228574;328.4963451;1.12586E-07;9.97029E-08;1.13863E-07;49.74852924;49.8382933;49.83876946;0.300572446;0;0;15.07391888;-27.34957308;70.95741688;483.2587387;51.57450004;;;;;;;;;;;;;;;;;;;;;
